web-scraper-order,web-scraper-start-url,Data003,Data003-href,Details,Prix,Adresse,Image-src
"1739231684-19","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Femelle Cochin bleu","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-cochin-bleu-899496","Femelle cochin bleu en production et race pure à vendre","30 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_899496_uploaded_image1_1567386467.81.png"
"1739231687-20","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-908730","Venez commander de bons poulets à bon prix","Prix sur demande","Pikine, Sénégal","https://images.coinafrique.com/thumb_908730_uploaded_image1_1567603082.63.png"
"1739231689-21","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussins Bantam","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-bantam-912493","Poussins de moins de 2 semaines","8 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_912493_uploaded_image1_1567685916.85.png"
"1739231692-22","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Bouldolande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bouldolande-944280","Bon prix .","7 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_944280_uploaded_image1_1568469542.41.png"
"1739231695-23","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet - Pigeon  - Lapin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-pigeon-lapin-944363","Éleveur professionnel
Pigeon de race poulet de race lapin de race pérush","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_944363_uploaded_image1_1568471599.26.png"
"1739231697-24","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Paons Pigeons","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paons-pigeons-968953","Je vends des paires de paons à des prix très abordables. 

Si vous êtes intéressés, contactez moi.","30 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4996843_uploaded_image1_1729085675.jpg"
"1739231700-25","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poules","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poules-977534","Poules","7 000 CFA","Sénégal","https://images.coinafrique.com/thumb_5044135_uploaded_image1_1731603018.jpg"
"1739231702-26","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins angora californien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-angora-californien-993655","Lapin mal","11 000 CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_1014679_uploaded_image1_1570023780.43.png"
"1739231705-27","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Brahmane poules","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-poules-1006369","Capables de couver ses œufs et d'élever ses poussins","35 000 CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_4936101_uploaded_image1_1725915391.jpg"
"1739231708-28","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Bleus d'hollande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bleus-dhollande-1006380","Capables de couver ses œufs comme les poules de la basse cour","15 000 CFA","Hann Bel-Air, Dakar, Sénégal",""
"1739231710-29","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon voyageur","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006407","Pigeon Triganini est une race de pigeon italienne de Modene","20 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4946879_uploaded_image1_1726499763.jpg"
"1739231713-30","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon voyageur","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006413","Messager de Bassorah est une race de pigeon syrienne","25 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4946879_uploaded_image1_1726499763.jpg"
"1739231715-31","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon voyageur","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006424","Pigeon originaire de la ville  de Revelles","20 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4946879_uploaded_image1_1726499763.jpg"
"1739231718-32","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin angora californien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-californien-1014679","","15 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1014679_uploaded_image1_1570023780.43.png"
"1739231720-33","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin géant","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-1023073","Lapin géant métisse Florida white (USA) âgés de 6 mois et bien entretenu","45 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1364891_uploaded_image1_1576778546.81.png"
"1739231723-34","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Perroquet","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/perroquet-1040990","Des inséparables perroquets de décoration","75 000 CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_1040990_uploaded_image1_1570583700.42.png"
"1739231725-35","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin géant des Flandres","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-des-flandres-1072763","Lapin mâle de 5 mois 3/4, géant des Flandres.","35 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1072763_uploaded_image1_1571252694.33.png"
